foreign1,foreign2,definitions,level
発達,はったつ,development; growth,JLPT N-3
美人,びじん,beautiful woman,JLPT N-3
便,びん,flight (e.g. airline flight); trip (e.g. train trip); service / mail; post; letter / opportunity; chance,JLPT N-3
宝石,ほうせき,gem; jewel; precious stone,JLPT N-3
霧,きり,fog; mist / spray,JLPT N-3
木曜,もくよう,Thursday,JLPT N-3
話し合う,はなしあう,to discuss; to talk together,JLPT N-3
永久,えいきゅう,eternity; permanence; perpetuity / Eikyū era (1113.7.13-1118.4.3),JLPT N-3
雷,かみなり,lightning; thunder; thunderbolt / god of thunder; god of lightning / anger; fit of anger,JLPT N-3
覆う,おおう,to cover; to hide; to conceal; to wrap; to disguise,JLPT N-3
越える,こえる,to cross over; to cross; to pass through; to pass over (out of); to go beyond; to go past / to exceed; to surpass; to be more (than),JLPT N-3
乗せる,のせる,"to place on (something) / to give (someone) a ride; to give a lift; to pick up; to help on board / to load (luggage); to carry; to take on board / to send out (on the airwaves, etc.) / to deceive; to take for a ride / to (sing) along with (musical accompaniment) / to let (someone) take part / to excite (someone) / to publish (an article); to run (an ad)",JLPT N-3
見舞い,みまい,visiting ill or distressed people; writing get-well letters / get-well gifts; get-well letters / expression of sympathy; expression of concern; enquiry; inquiry,JLPT N-3
隠す,かくす,to hide; to conceal,JLPT N-3
活気,かっき,energy; liveliness,JLPT N-3
勘,かん,perception; intuition; the sixth sense,JLPT N-3
居間,いま,living room (Western style),JLPT N-3
叫ぶ,さけぶ,to shout; to cry; to scream; to shriek; to yell; to exclaim / to clamor (for or against); to clamour (for or against),JLPT N-3
句,く,"section (i.e. of text); sentence; passage; paragraph / phrase / verse (of 5 or 7 mora in Japanese poetry; of 4, 5, or 7 characters in Chinese poetry) / haiku; first 17 morae of a renga, etc. / maxim; saying; idiom; expression",JLPT N-3
敬意,けいい,respect; honour; honor,JLPT N-3
欠点,けってん,fault; defect; flaw; weak point; weakness; shortcoming; drawback / failure (in an examination); failing grade,JLPT N-3
考慮,こうりょ,consideration; taking into account,JLPT N-3
克服,こくふく,"conquest (of a difficulty, illness, handicap, etc.); overcoming; bringing under control; subjugation; victory over",JLPT N-3
骨折,こっせつ,bone fracture,JLPT N-3
手伝い,てつだい,helper; assistant / help,JLPT N-3
受け取る,うけとる,to receive; to get; to accept / to take; to interpret; to understand,JLPT N-3
週間,しゅうかん,week,JLPT N-3
奨学金,しょうがくきん,scholarship; stipend; bursary / student loan,JLPT N-3
小麦,こむぎ,wheat,JLPT N-3
清潔,せいけつ,clean; hygienic; sanitary / pure; virtuous; immaculate,JLPT N-3
